="%  4 May 2023 11:14:44"
="Table 1 - all "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-121.56***",="-127.20***",="-128.46***",="-122.09***"
="",="(19.59)",="(19.83)",="(17.25)",="(18.35)"
="Pre-treat DV mean",="170.41",="170.41",="170.41",="170.41"
="N",="998",="998",="998",="998"

="%  4 May 2023 11:14:44"
="Table 1 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-114.06***",="-120.05***",="-119.60***",="-115.23***"
="",="(17.54)",="(17.80)",="(16.44)",="(17.52)"
="Pre-treat DV mean",="158.32",="158.32",="158.32",="158.32"
="N",="998",="998",="998",="998"

="%  4 May 2023 11:14:44"
="Table 1 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899",="rate_total_cannabis_1899"
="RML",="-349.78***",="-360.72***",="-376.93***",="-325.15***"
="",="(70.62)",="(72.11)",="(76.42)",="(103.67)"
="Pre-treat DV mean",="492.25",="492.25",="492.25",="492.25"
="N",="998",="998",="998",="998"

