="%  4 May 2023 11:14:49"
="Table 6"
="",="(1)",="(2)",="(3)",="(4)"
="",="Vandalism",="Liquor Law Violations",="DUI",="Drunkenness/Disorderly Conduct"
="RML",="-0.94",="-28.20",="-23.96",="42.16"
="",="(3.41)",="(21.60)",="(35.18)",="(28.98)"
="RML*Black",="17.29",="107.49",="-22.09",="71.78"
="",="(14.71)",="(108.74)",="(33.20)",="(78.11)"
="Pre-treat DV mean (White)",="60.70",="148.77",="653.38",="291.11"
="Pre-treat DV mean (Black)",="111.17",="178.12",="591.38",="412.81"
="N",="1996",="1996",="1996",="1996"

