="%  7 Apr 2025 10:20:58"
="OLS - agency level estimates - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML",="-280.27***",="201.28",="-76.46",="-5.91"
="",="(92.55)",="(212.71)",="(102.22)",="(101.58)"
="Pre-treat DV mean",="570.00",="1477.75",="1346.41",="1181.65"
="N",="14071",="14071",="14071",="14071"

="%  7 Apr 2025 10:20:59"
="OLS - agency level estimates - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML",="-75.96***",="-29.40",="-25.01",="4.71"
="",="(13.67)",="(18.97)",="(34.50)",="(12.06)"
="Pre-treat DV mean",="140.05",="526.46",="500.27",="298.88"
="N",="14071",="14071",="14071",="14071"

="%  7 Apr 2025 10:21:02"
="OLS - agency level estimates - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="Diff. in Coeff. (Black-White)",="-204.31**",="230.68",="-51.46",="-10.62"
="",="(87.66)",="(199.52)",="(81.33)",="(90.82)"
="N",="28142",="28142",="28142",="28142"

="%  7 Apr 2025 10:21:09"
="Poisson - agency level estimates - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML",="-1.814***",="-0.041",="-0.027",="0.013"
="",="(0.281)",="(0.107)",="(0.064)",="(0.095)"
="Pre-treat DV mean",="51.64",="133.85",="122.01",="107.04"
="N",="14041",="14041",="14071",="14051"

="%  7 Apr 2025 10:21:15"
="Poisson - agency level estimates - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML",="-1.504***",="-0.140**",="-0.008",="0.021"
="",="(0.323)",="(0.056)",="(0.057)",="(0.057)"
="Pre-treat DV mean",="111.45",="418.08",="398.36",="237.46"
="N",="14061",="14061",="14071",="14071"

="%  7 Apr 2025 10:21:40"
="Poisson - agency level estimates - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
