="%  7 Apr 2025 09:32:42"
="Table 5 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML-No Sales",="-564.47***",="130.75",="17.31",="44.46"
="",="(77.54)",="(121.56)",="(71.91)",="(46.80)"
="RML-Sales",="-561.14***",="201.79",="-41.24",="30.94"
="",="(98.97)",="(141.18)",="(88.34)",="(52.39)"
="Pre-treat DV mean",="538.74",="1258.36",="1190.40",="981.99"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 09:32:42"
="Table 5 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML-No Sales",="-149.72***",="-66.78***",="-23.48",="-2.77"
="",="(21.34)",="(19.57)",="(17.46)",="(7.83)"
="RML-Sales",="-142.16***",="-34.56",="-11.92",="4.43"
="",="(27.08)",="(22.86)",="(26.94)",="(7.84)"
="Pre-treat DV mean",="164.45",="506.31",="441.06",="272.80"
="N",="900",="900",="900",="900"

="%  7 Apr 2025 09:32:43"
="Table 5 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML-No Sales Diff (Black-White)",="-414.75***",="197.52",="40.79",="47.24"
="",="(65.77)",="(121.18)",="(62.68)",="(41.23)"
="RML-Sales Diff (Black-White)",="-418.98***",="236.36*",="-29.31",="26.50"
="",="(89.83)",="(139.99)",="(76.92)",="(46.47)"

="% 22 Apr 2025 13:07:40"
="Table 5 - black "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML-No Sales",="-564.47***",="130.75",="17.31",="44.46"
="",="(77.54)",="(121.56)",="(71.91)",="(46.80)"
="RML-Sales",="-561.14***",="201.79",="-41.24",="30.94"
="",="(98.97)",="(141.18)",="(88.34)",="(52.39)"
="Pre-treat DV mean",="538.74",="1258.36",="1190.40",="981.99"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:07:41"
="Table 5 - white "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML-No Sales",="-149.72***",="-66.78***",="-23.48",="-2.77"
="",="(21.34)",="(19.57)",="(17.46)",="(7.83)"
="RML-Sales",="-142.16***",="-34.56",="-11.92",="4.43"
="",="(27.08)",="(22.86)",="(26.94)",="(7.84)"
="Pre-treat DV mean",="164.45",="506.31",="441.06",="272.80"
="N",="900",="900",="900",="900"

="% 22 Apr 2025 13:07:42"
="Table 5 - diff in RML coeff. "
="",="(1)",="(2)",="(3)",="(4)"
="",="Marijuana",="Non-Marijuana",="Property",="Violent"
="RML-No Sales Diff (Black-White)",="-414.75***",="197.52",="40.79",="47.24"
="",="(65.77)",="(121.18)",="(62.68)",="(41.23)"
="RML-Sales Diff (Black-White)",="-418.98***",="236.36*",="-29.31",="26.50"
="",="(89.83)",="(139.99)",="(76.92)",="(46.47)"

